protocol,rtt_ms,loss_pct,jitter_ms,object_mix,run_id,num_objects,bytes_total,completion_time_ms,throughput_mbps,negotiated_protocols,success,qdisc_snapshot
h2,0,0,0,few_large,39,10,10485760,128.03187302779406,655.1968507231744,HTTP/2,True,qdisc netem 810a: root refcnt 25 limit 1000
h2,0,0,0,few_large,40,10,10485760,142.9508330184035,586.8177066810132,HTTP/2,True,qdisc netem 810a: root refcnt 25 limit 1000
h2,100,0,0,few_large,1,10,10485760,1485.0275699864142,56.48789402661894,HTTP/2,True,qdisc netem 810b: root refcnt 25 limit 1000 delay 100ms
h2,100,0,0,few_large,2,10,10485760,1501.5836899983697,55.8650713634823,HTTP/2,True,qdisc netem 810b: root refcnt 25 limit 1000 delay 100ms
h2,100,0,0,few_large,3,10,10485760,1488.931327010505,56.33979114968824,HTTP/2,True,qdisc netem 810b: root refcnt 25 limit 1000 delay 100ms
h2,100,0,0,few_large,4,10,10485760,1418.0267389747314,59.15690987650326,HTTP/2,True,qdisc netem 810b: root refcnt 25 limit 1000 delay 100ms
h2,100,0,0,few_large,5,10,10485760,1499.1996500175446,55.95390847310985,HTTP/2,True,qdisc netem 810b: root refcnt 25 limit 1000 delay 100ms
h2,100,0,0,few_large,6,10,10485760,1323.423806054052,63.38565138110708,HTTP/2,True,qdisc netem 810b: root refcnt 25 limit 1000 delay 100ms
h2,100,0,0,few_large,7,10,10485760,1473.3168270322494,56.936891278825954,HTTP/2,True,qdisc netem 810b: root refcnt 25 limit 1000 delay 100ms
h2,100,0,0,few_large,8,10,10485760,1475.3920270013623,56.856807183981445,HTTP/2,True,qdisc netem 810b: root refcnt 25 limit 1000 delay 100ms
h2,100,0,0,few_large,9,10,10485760,1485.3714039782062,56.47481820057363,HTTP/2,True,qdisc netem 810b: root refcnt 25 limit 1000 delay 100ms
h2,100,0,0,few_large,10,10,10485760,1478.7590539781377,56.72734836302831,HTTP/2,True,qdisc netem 810b: root refcnt 25 limit 1000 delay 100ms
h2,100,0,0,few_large,11,10,10485760,1485.6172839645296,56.465471225631525,HTTP/2,True,qdisc netem 810b: root refcnt 25 limit 1000 delay 100ms
h2,100,0,0,few_large,12,10,10485760,1387.4833870213479,60.45915993278075,HTTP/2,True,qdisc netem 810b: root refcnt 25 limit 1000 delay 100ms
h2,100,0,0,few_large,13,10,10485760,1376.192434981931,60.9551962848142,HTTP/2,True,qdisc netem 810b: root refcnt 25 limit 1000 delay 100ms
h2,100,0,0,few_large,14,10,10485760,1486.2945880158804,56.439739925301886,HTTP/2,True,qdisc netem 810b: root refcnt 25 limit 1000 delay 100ms
h2,100,0,0,few_large,15,10,10485760,1485.7123880065046,56.46185673430135,HTTP/2,True,qdisc netem 810b: root refcnt 25 limit 1000 delay 100ms
h2,100,0,0,few_large,16,10,10485760,1327.4989439523779,63.1910709851452,HTTP/2,True,qdisc netem 810b: root refcnt 25 limit 1000 delay 100ms
h2,100,0,0,few_large,17,10,10485760,1385.0030610337853,60.56743292493974,HTTP/2,True,qdisc netem 810b: root refcnt 25 limit 1000 delay 100ms
h2,100,0,0,few_large,18,10,10485760,1418.9436240121722,59.1186841960681,HTTP/2,True,qdisc netem 810b: root refcnt 25 limit 1000 delay 100ms
h2,100,0,0,few_large,19,10,10485760,1387.9326669848524,60.43958903441209,HTTP/2,True,qdisc netem 810b: root refcnt 25 limit 1000 delay 100ms
h2,100,0,0,few_large,20,10,10485760,1370.5859400215559,61.204538548440595,HTTP/2,True,qdisc netem 810b: root refcnt 25 limit 1000 delay 100ms
h2,100,0,0,few_large,21,10,10485760,1489.6700590034015,56.311852072881365,HTTP/2,True,qdisc netem 810b: root refcnt 25 limit 1000 delay 100ms
